sym,price_est_vs_actual,price,est_price_unsplit,MCAP,SharesOutstanding
PINC,0.49,39.5,19.31,2440.29225,126.375
SIEN,0.49,6.39,3.13,145.71798,46.593
VISL,0.49,1.07,0.53,1.99961,3.8
ADXS,0.50,0.4413,0.22,3.79025,17.22
ENBP,0.50,19.7601,9.88,112.51401,11.389
BHGE,0.51,23.68,11.99,12447.16336,1037.915
MDRR,0.52,4.2624,2.21,9.89172,4.486
ALRN,0.52,0.5221,0.27,7.58625,27.81
IPIC,0.52,0.67,0.35,4.02922,11.468
MGTI,0.53,0.038,0.02,5.88035,294.56
FIS,0.53,136.5,72.04,44190.36,613.444
CTST,0.53,3.17,1.68,237.68775,141.482
RMR,0.53,46.07,24.56,767.1921,31.24
DGNOF,0.53,0.2317,0.12,4.93446,39.945
USAS,0.53,3.73,1.99,164.31904,82.488
VIRT,0.54,18.13,9.70,1933.98685,199.383
ZIVO,0.54,0.077,0.04,14.33632,347.203
HLNE,0.54,56.35,30.29,1541.64736,50.888
TCF,0.54,38.92,21.01,3224.60557,153.483
LHX,0.54,211.61,114.36,25320.5404,221.412
EVSI,0.55,5.94,3.24,16.56018,5.11
VTVT,0.55,1.34,0.73,39.66991,54.133
RNGR,0.55,6.08,3.33,51.86615,15.583
AMPY,0.55,5.66,3.12,128.65124,41.226
RGLS,0.56,0.57,0.32,6.60655,20.766
BX,0.56,47.56,26.67,31860.15924,1194.728
PSXP,0.56,51.25,28.75,6496.776,225.938
QSR,0.57,74.31,42.23,19573.66567,463.54
FNKO,0.57,24,13.67,667.70002,48.831
INPX,0.57,0.3926,0.22,2.94265,13.141
BBCP,0.57,3.45,1.97,114.552,58.2
POAI,0.58,0.6199,0.36,10.9368,30.681
MCRB,0.58,2.68,1.55,108.07985,69.913
FISV,0.58,105.29,60.96,41423.447,679.542
CHMA,0.58,5.07,2.95,123.1847,41.777
RPAY,0.59,11.51,6.76,374.745,55.476
RRR,0.59,19.03,11.20,1312.01558,117.158
MGY,0.59,10.09,5.96,1549.01978,259.988
PAGP,0.59,22.07,13.06,3642.66024,278.998
FTNW,0.59,0.884,0.52,7.16007,13.673
CRK,0.59,5.52,3.28,606.62364,184.787
RWLK,0.60,3.39,2.02,12.82234,6.356
PACK,0.60,5.04,3.01,214.0875,71.193
PVOTF,0.60,0.2892,0.17,29.66432,171.039
NSPR,0.60,2.23,1.34,1.87824,1.398
SNSS,0.60,0.7999,0.48,53.67072,111.32
ELGX,0.61,6.18,3.74,64.88196,17.351
DSS,0.61,0.4227,0.26,7.47125,29.203
XCUR,0.61,2.445,1.49,113.1129,75.983
MYT,0.61,0.2906,0.18,4.62515,26.14
ACCA,0.61,0.0549,0.03,0.80784,24.084
ATIS,0.61,1.25,0.77,3.30413,4.313
